GeneID,GSM7373348,GSM7373349,GSM7373350,GSM7373351,GSM7373352,GSM7373353,GSM7373354,GSM7373355,GSM7373356,GSM7373357,GSM7373358,GSM7373359,GSM7373360,GSM7373361,GSM7373362,GSM7373363,GSM7373364,GSM7373365,GSM7373366,GSM7373367,GSM7373368,GSM7373369,GSM7373370,GSM7373371,GSM7373372,GSM7373373,GSM7373374,GSM7373375
LINC01297,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
LOC115308161,7,13,7,7,7,11,18,23,12,15,8,6,14,11,10,10,5,3,6,6,4,5,11,8,1,1,7,11
LDLR-AS1,3,5,1,4,0,2,4,7,3,5,0,1,2,5,1,3,0,0,0,0,0,0,0,3,2,2,3,3
DUS4L-BCAP29,29,30,17,16,26,27,69,67,62,63,22,20,41,41,55,56,9,9,14,14,16,16,20,22,4,5,26,28
SLCO1B3-SLCO1B7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TNRC6B-DT,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CIMIP3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC114841035,134,136,77,74,161,168,90,93,58,58,42,42,38,37,42,45,22,25,40,40,10,11,52,48,13,13,73,75
ZNF71-SMIM17,4,5,3,5,3,3,4,7,2,1,2,3,4,4,3,3,1,1,0,0,0,0,3,3,1,1,2,3
ABCF2-H2BK1,84,94,69,71,84,98,119,126,28,29,18,20,31,33,45,47,14,15,13,15,14,17,52,55,6,6,49,59
H2BK1,6,3,6,5,11,6,7,9,1,1,2,0,2,2,5,3,0,0,0,0,0,0,3,2,0,0,5,5
ARHGAP11A-SCG5,2,2,2,3,3,3,10,10,14,12,5,5,7,7,9,7,3,3,2,3,3,3,1,1,0,1,3,3
ATF7-NPFF,36,35,35,40,44,38,87,91,93,97,53,60,64,61,61,66,25,25,39,39,30,30,56,56,5,5,40,44
CA5BP1-CA5B,100,105,61,63,79,86,175,180,38,36,22,27,41,40,33,34,12,11,25,23,11,11,55,55,10,10,70,75
LNCRNA-ATB,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MYOPARR,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PARGP1-AGAP4,53,53,60,60,66,67,118,118,29,37,19,19,32,29,25,30,7,9,26,18,24,20,47,44,13,12,39,37
BMS1P4-AGAP5,67,65,57,60,51,48,93,94,20,18,14,13,19,22,24,23,7,8,15,15,15,14,39,40,6,5,48,46
